"","Adjusted","Implementation_year","Reserve_size","C_change","B_change","PV_change","C_per","B_per","PV_per","Transition_period","Payoff_period","B_per_50","Loss"
"361","IUU_40_legal",2025,0.05,41426.9341293289,464659.87360746,70545346.4316418,5.02209083248384,21.678778635799,94.677714685932,2020,2028,12.2576953057413,8419.54173123154
"362","IUU_40_legal",2025,0.1,64789.6010200289,640045.37908346,71842527.4866971,7.85429257948912,29.8614166579363,96.41863941079,2020,2028,20.5969775802235,8419.54173123154
"363","IUU_40_legal",2025,0.15,84655.7523270289,820865.02550196,72664218.5075288,10.2626198779601,38.2975853704979,97.5214170136426,2020,2029,29.3723171504932,8419.54173123154
"364","IUU_40_legal",2025,0.2,101030.289302429,1007901.87658196,72969315.4450516,12.2476668952846,47.0238187330232,97.930882446353,2020,2030,38.5642217673961,8419.54173123154
"365","IUU_40_legal",2025,0.25,116047.006595129,1193448.69319796,73152958.0326104,14.0681085918445,55.6805343060007,98.1773460529344,2020,2031,47.7529534475073,8419.54173123154
"366","IUU_40_legal",2025,0.3,133289.919858929,1544216.05288696,72327439.2214292,16.1584268460775,72.0456400000324,97.0694312374814,2020,2032,65.6583320695187,8419.54173123154
"367","IUU_40_legal",2025,0.35,144107.802889629,1927846.66581796,70592090.1624663,17.4698536348849,89.9439858827519,94.7404486554171,2020,2034,85.668724685757,8419.54173123154
"368","IUU_40_legal",2025,0.4,147625.047502029,2259826.30930496,68373797.3908492,17.8962410153363,105.432547756778,91.7633154957615,2020,2036,103.468630869699,8419.54173123154
"369","IUU_40_legal",2025,0.45,131393.003705929,3008695.76894896,61685924.3876764,15.9284681145858,140.371168810266,82.7876344043985,2020,2042,145.533487812142,8419.54173123154
"370","IUU_40_legal",2025,0.5,143403.984197429,2849068.09373896,63451237.5869562,17.3845313324718,132.923714808786,85.1568313517078,2020,2040,136.090820372931,8419.54173123154
"371","IUU_40_legal",2025,0.55,87339.1764011289,3933654.14221096,51210291.0391441,10.5879251346835,183.525245502103,68.7284643032518,2020,2073,199.897577855048,8419.54173123154
"372","IUU_40_legal",2025,0.6,89757.9807303289,3815848.92073996,52630463.320177,10.8811511554487,178.029024581231,70.6344534695081,2020,2063,192.90080616183,8419.54173123154
"373","IUU_40_legal",2025,0.65,-4913.07165757113,4793938.17670296,39474285.0559376,-0.595600245333043,223.661930864823,52.977769434851,2020,NA,253.445974313412,8419.54173123154
"374","IUU_40_legal",2025,0.7,-10323.5412773711,4807904.99499696,39155850.4648373,-1.25149888828362,224.31355494351,52.5504037631615,2020,NA,254.409956058636,8419.54173123154
"375","IUU_40_legal",2025,0.75,-135228.107378871,5626292.16836996,26714131.3824034,-16.3933888093536,262.495535737742,35.8525832962845,2020,NA,307.318309843094,8419.54173123154
"376","IUU_40_legal",2025,0.8,-145960.158652771,5642822.91370496,26354286.8791528,-17.6944104139971,263.266780231096,35.3696420828189,2020,NA,308.78159264018,8419.54173123154
"377","IUU_40_legal",2025,0.85,-260390.800176731,6184858.31478696,17396638.0104235,-31.5665708292151,288.555526129456,23.3477332433448,2020,NA,344.762393410805,8419.54173123154
"378","IUU_40_legal",2025,0.9,-295297.909481241,6297811.45259896,15345822.8373837,-35.7982784684869,293.825372332948,20.5953689323298,2020,NA,352.431659189471,8419.54173123154
"379","IUU_40_legal",2025,0.95,-419095.243990861,6755466.37343496,7320035.13297433,-50.8059412799751,315.177333808255,9.82409517943609,2020,NA,383.507818119162,8419.54173123154
"380","IUU_40_legal",2025,1,-434768.707160861,6801577.88054496,6458041.8076712,-52.7059987511265,317.328673340632,8.66722853631445,2020,NA,386.655327936214,8419.54173123154
"381","IUU_40_legal",2030,0.05,43389.0851205128,465502.501218801,71328604.3341513,5.04384623573238,20.8591929143039,95.7289471783848,2020,2027,12.2733833693916,8419.54173123154
"382","IUU_40_legal",2030,0.1,68773.1410047127,641760.224517901,73034041.8876259,7.99466380571642,28.7573112773754,98.0177868801654,2020,2027,20.8224610762892,8419.54173123154
"383","IUU_40_legal",2030,0.15,89904.4473286127,819131.876547201,74277542.0594445,10.4511124623746,36.7053448486685,99.6866680166402,2020,2027,29.5513144777599,8419.54173123154
"384","IUU_40_legal",2030,0.2,108587.832983513,1009520.9464896,75219544.8945984,12.6229979525725,45.2366896390948,100.950914534431,2020,2027,39.0384628432881,8419.54173123154
"385","IUU_40_legal",2030,0.25,146520.952742913,1535987.7287277,76554784.0405262,17.0326051792891,68.8276953692995,102.742917039797,2020,2027,65.8059743973051,8419.54173123154
"386","IUU_40_legal",2030,0.3,144767.159414813,1548593.0258381,76491795.3974406,16.8287321579608,69.3925394323915,102.658381017495,2020,2027,66.5970044628088,8419.54173123154
